Date : 2023-04-22 07:27:40
Directory : c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main
Total : 136 files,  13515 codes, 1869 comments, 3192 blanks, all 18576 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Java            |        134 |     13,471 |      1,853 |      3,169 |     18,493 |
| Java Properties |          2 |         44 |         16 |         23 |         83 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                   | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\service\ProfileService.java                        | Java            |         53 |          2 |         17 |         72 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\service\RemarkService.java                         | Java            |          0 |         54 |          1 |         55 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\service\UserDetailsServiceImpl.java                | Java            |         38 |          1 |         11 |         50 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\service\UtilService.java                           | Java            |          0 |          0 |          1 |          1 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\controller\AccountController.java             | Java            |         96 |         52 |         27 |        175 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\controller\BTBController.java                 | Java            |          1 |         43 |          1 |         45 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\controller\CurrencyController.java            | Java            |         79 |         60 |         23 |        162 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\controller\DashboardController.java           | Java            |         19 |          0 |          8 |         27 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\controller\ERCAController.java                | Java            |        100 |          5 |         42 |        147 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\controller\FileController.java                | Java            |         67 |         17 |         10 |         94 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\controller\RTGSController.java                | Java            |        158 |          7 |         38 |        203 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\mapper\ErcaMapper.java                        | Java            |        206 |          2 |         45 |        253 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\mapper\MapperAccount.java                     | Java            |        196 |         83 |         61 |        340 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\mapper\MapperBTB.java                         | Java            |         16 |          0 |         10 |         26 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\mapper\MapperCurrency.java                    | Java            |         66 |         19 |         30 |        115 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\mapper\MapperDashboard.java                   | Java            |        113 |          3 |         45 |        161 |
